家賃_num,築年数_num,面積_num,徒歩分_num,駅名,駅カテゴリ,y_true_log,y_pred_log,実家賃,予測家賃
5.2,7,30.02,14,南大分駅,住宅地,1.6486586255873816,1.5788551700827012,5.2,4.8494008929026196
5.15,36,54.81,21,高城駅,郊外,1.6389967146756448,1.5321529371987135,5.15,4.628130177600588
5.15,35,54.81,16,高城駅,郊外,1.6389967146756448,1.5424177535735368,5.15,4.67588174528567
5.6,20,45.13,20,南大分駅,住宅地,1.7227665977411035,1.6295903135487764,5.6,5.101784158482104
5.6,19,42.37,23,大分駅,中心市街地,1.7227665977411035,1.7650771490939494,5.6,5.8420230474855765
4.5,27,40.23,27,鶴崎駅,郊外,1.5040773967762742,1.4481872313120012,4.5,4.255393475006651
4.7,4,34.78,13,鶴崎駅,郊外,1.547562508716013,1.599452012396925,4.7,4.950318967567171
5.7,4,40.89,23,敷戸駅,郊外,1.7404661748405046,1.6661149365172827,5.700000000000001,5.291569726373077
4.8,6,30.69,10,賀来駅,住宅地,1.5686159179138452,1.596452278039018,4.8,4.935491575914224
5.9,8,48.35,19,大分駅,中心市街地,1.7749523509116738,1.9337248543306043,5.9,6.915220517430044
4.5,8,26.4,19,高城駅,郊外,1.5040773967762742,1.467028786272955,4.5,4.33633181267535
4.8,4,28.98,5,大分大学前駅,その他,1.5686159179138452,1.5442599968996573,4.8,4.684503796744527
4.6,6,26.27,5,大分大学前駅,その他,1.5260563034950492,1.49544705318484,4.6,4.461330559136271
4.9,19,22.35,12,鶴崎駅,郊外,1.589235205116581,1.322705403740826,4.9,3.7535625552633944
6.3,18,61.87,31,敷戸駅,郊外,1.840549633397487,1.773538786411959,6.299999999999999,5.891665861260759
6.0,12,36.0,1,大分駅,中心市街地,1.791759469228055,1.7620257818123557,6.0,5.824224058936111
7.4,12,63.35,16,大在駅,その他,2.0014800002101243,1.8568059476110175,7.400000000000001,6.403251752176125
6.0,28,50.69,18,坂ノ市駅,郊外,1.791759469228055,1.5592266636783034,6.0,4.7551424984580795
6.0,28,50.69,17,坂ノ市駅,郊外,1.791759469228055,1.5594574135126853,6.0,4.756239873406736
5.9,31,54.0,14,滝尾駅,住宅地,1.7749523509116738,1.6308787111719767,5.9,5.108361521285423
6.7,0,50.05,12,大在駅,その他,1.9021075263969205,1.8169297372176434,6.700000000000001,6.152938282392543
6.7,0,50.14,12,大在駅,その他,1.9021075263969205,1.8179456681541044,6.700000000000001,6.159192419091322
4.75,9,25.88,12,大分駅,中心市街地,1.55814461804655,1.6725849454986386,4.75,5.325917224520585
5.7,10,56.68,5,鶴崎駅,郊外,1.7404661748405046,1.79384146905996,5.700000000000001,6.012505012190923
7.3,9,59.8,21,牧駅,その他,1.9878743481543455,1.8429125686652317,7.300000000000001,6.314904093956709
6.0,22,44.72,12,大分駅,中心市街地,1.791759469228055,1.7668092812265477,6.0,5.852150972245243
6.0,22,44.72,14,大分駅,中心市街地,1.791759469228055,1.7663477815577842,6.0,5.849450829615386
4.8,39,46.55,25,高城駅,郊外,1.5686159179138452,1.4106568525283694,4.8,4.098646726538647
6.1,23,53.0,28,大分駅,中心市街地,1.8082887711792655,1.8474718628279225,6.1,6.343761333664185
6.3,21,53.28,28,牧駅,その他,1.840549633397487,1.6583659611037518,6.299999999999999,5.250723943535301
6.1,3,42.63,22,大在駅,その他,1.8082887711792655,1.7035311756146438,6.1,5.493311029354457
6.7,8,44.62,10,牧駅,その他,1.9021075263969205,1.6832081994299504,6.700000000000001,5.382797386891851
6.0,18,42.59,27,牧駅,その他,1.791759469228055,1.5652598935383633,6.0,4.783918083743249
4.85,27,50.6,47,鶴崎駅,郊外,1.5789787049493917,1.5606300547476883,4.85,4.761820507807378
4.85,27,50.6,49,高城駅,郊外,1.5789787049493917,1.560168555078925,4.85,4.759623436233211
4.5,38,50.0,10,南大分駅,住宅地,1.5040773967762742,1.5228717540241732,4.5,4.5853743728109375
6.95,20,54.81,19,古国府駅,住宅地,1.9387416595767009,1.7390900796602793,6.950000000000001,5.692161651866177
4.55,27,47.61,19,大分駅,中心市街地,1.5151272329628591,1.7522613675532104,4.550000000000001,5.76763067277159
5.4,7,41.6,46,高城駅,郊外,1.6863989535702288,1.6414890549942838,5.4,5.162851561220517
6.5,27,54.81,16,古国府駅,住宅地,1.8718021769015913,1.6760048587430203,6.499999999999999,5.344162580359401
6.5,27,54.81,16,古国府駅,住宅地,1.8718021769015913,1.6760048587430203,6.499999999999999,5.344162580359401
7.8,1,53.77,9,大在駅,その他,2.0541237336955462,1.850502731558255,7.800000000000002,6.363017608402622
5.0,34,54.0,30,敷戸駅,郊外,1.6094379124341003,1.5391549446669603,4.999999999999999,4.660650099169266
5.6,27,53.16,22,鶴崎駅,郊外,1.7227665977411035,1.5952963916887835,5.6,4.929790004389087
5.0,8,30.41,25,大分駅,中心市街地,1.6094379124341003,1.7298314553231202,4.999999999999999,5.63970328635133
7.1,0,50.01,6,滝尾駅,住宅地,1.9600947840472698,1.8701281882876275,7.1000000000000005,6.489128176202645
4.5,25,25.0,13,大分駅,中心市街地,1.5040773967762742,1.5166435734833352,4.5,4.5569045828946075
5.1,8,27.35,7,大分駅,中心市街地,1.62924053973028,1.6994433005023224,5.1,5.470900896033902
3.3,19,21.81,13,賀来駅,住宅地,1.1939224684724346,1.3770776358338437,3.3,3.96330247414455
4.1,17,28.0,6,大分大学前駅,その他,1.410986973710262,1.4145230143414755,4.1,4.114523429172899
4.5,15,32.9,21,大分駅,中心市街地,1.5040773967762742,1.6950844068156596,4.5,5.447105718657636
4.25,23,32.33,19,高城駅,郊外,1.4469189829363254,1.3973013388204851,4.25,4.044271109393349
4.4,15,45.39,51,高城駅,郊外,1.4816045409242156,1.610228748745574,4.4,5.0039557455248005
6.5,16,41.28,24,大分駅,中心市街地,1.8718021769015913,1.77987554841562,6.499999999999999,5.929118484484192
5.9,27,54.81,32,南大分駅,住宅地,1.7749523509116738,1.672312861392913,5.9,5.324468324215693
4.1,17,23.61,6,賀来駅,住宅地,1.410986973710262,1.417233637809562,4.1,4.125691482295364
3.65,23,42.77,7,坂ノ市駅,郊外,1.2947271675944,1.5179183254625228,3.65,4.562717210072498
5.5,15,26.42,3,大分駅,中心市街地,1.7047480922384253,1.6260908764093498,5.5,5.083961987491719
4.5,21,30.96,4,賀来駅,住宅地,1.5040773967762742,1.4642185618109678,4.5,4.324162853701723
6.5,33,54.64,14,高城駅,郊外,1.8718021769015913,1.5591824069903706,6.499999999999999,4.754932056257221
3.9,16,25.25,12,賀来駅,住宅地,1.3609765531356006,1.4434727252928066,3.8999999999999995,4.235378614017783
6.7,14,68.12,4,鶴崎駅,郊外,1.9021075263969205,1.8867640602283713,6.700000000000001,6.597983422031062
7.4,16,47.61,15,大分駅,中心市街地,2.0014800002101243,1.8534061061228009,7.400000000000001,6.381518676649741
6.5,33,54.64,14,高城駅,郊外,1.8718021769015913,1.5591824069903706,6.499999999999999,4.754932056257221
4.4,13,29.66,25,古国府駅,住宅地,1.4816045409242156,1.5175867949411703,4.4,4.561204780779148
7.4,16,47.61,16,大分駅,中心市街地,2.0014800002101243,1.8531753562884192,7.400000000000001,6.380046312152467
3.7,20,22.35,9,古国府駅,住宅地,1.308332819650179,1.3749851535872206,3.7000000000000006,3.9550180046548533
7.9,2,57.55,19,高城駅,郊外,2.066862759472976,1.8733201747210566,7.900000000000002,6.509874478648891
4.6,26,24.92,9,南大分駅,住宅地,1.5260563034950492,1.3493292226664464,4.6,3.8548389247004335
4.7,37,46.28,2,古国府駅,住宅地,1.547562508716013,1.4918370078617604,4.7,4.445253989648517
9.0,4,44.12,23,豊後国分駅,郊外,2.1972245773362196,1.7025755690147106,9.000000000000002,5.4880640924823565
4.2,23,30.09,18,大分駅,中心市街地,1.4350845252893227,1.591168497234875,4.2,4.909482294448768
5.9,25,58.57,58,滝尾駅,住宅地,1.7749523509116738,1.7269788370058494,5.9,5.623638289998126
4.6,36,39.67,17,西大分駅,中心市街地,1.5260563034950492,1.5810955775568618,4.6,4.860277706606025
8.3,9,45.1,21,大分駅,中心市街地,2.1162555148025524,1.8874658925311736,8.3,6.602615725289884
6.3,0,47.58,49,鶴崎駅,郊外,1.840549633397487,1.7720772425786073,6.299999999999999,5.883061222912828
4.4,26,26.71,9,鶴崎駅,郊外,1.4816045409242156,1.3088363926343363,4.4,3.7018636892537784
7.8,19,58.84,19,大分駅,中心市街地,2.0541237336955462,1.9519155098038097,7.800000000000002,7.04216400354736
4.3,42,64.89,46,大分駅,中心市街地,1.4586150226995167,1.8044238537816626,4.3,6.076469504875339
8.0,0,61.98,49,鶴崎駅,郊外,2.0794415416798357,1.9346261924123414,7.999999999999998,6.921456278868473
4.2,19,24.75,9,大分駅,中心市街地,1.4350845252893227,1.5694109456592935,4.2,4.80381765054612
5.0,37,42.5,5,牧駅,その他,1.6094379124341003,1.396210182102917,4.999999999999999,4.03986058253028
8.0,10,49.98,23,大分駅,中心市街地,2.0794415416798357,1.932979358658705,7.999999999999998,6.910067171601247
4.2,21,30.15,30,豊後国分駅,郊外,1.4350845252893227,1.3883771201427315,4.2,4.008339717887975
4.2,21,30.15,30,豊後国分駅,郊外,1.4350845252893227,1.3883771201427315,4.2,4.008339717887975
8.3,24,65.46,23,牧駅,その他,2.1162555148025524,1.7696758287346157,8.3,5.868950507861436
3.6,40,29.2,34,南大分駅,住宅地,1.2809338454620642,1.2643186960555668,3.5999999999999996,3.540679635173313
4.4,21,33.05,45,大分駅,中心市街地,1.4816045409242156,1.6365732258004444,4.4,5.137534143825904
5.5,48,51.84,10,西大分駅,中心市街地,1.7047480922384253,1.6107544588150928,5.5,5.006587067043157
3.5,24,25.16,8,南大分駅,住宅地,1.252762968495368,1.3704912560705533,3.5,3.9372844353312124
9.2,7,62.04,9,大分駅,中心市街地,2.2192034840549946,2.099677803434546,9.2,8.163539224490995
4.1,27,28.0,30,高城駅,郊外,1.410986973710262,1.3094412556653445,4.1,3.7041034870623983
3.85,35,34.47,16,南大分駅,住宅地,1.3480731482996928,1.373515929479552,3.85,3.9492114634558164
3.6,27,25.16,11,牧駅,その他,1.2809338454620642,1.2902003280343206,3.5999999999999996,3.6335143776417596
3.4,28,25.13,11,大在駅,その他,1.2237754316221157,1.2807506171859189,3.4,3.599340438632868
3.3,36,34.0,13,高城駅,郊外,1.1939224684724346,1.2990931271209885,3.3,3.6659705903789064
3.8,26,25.0,7,大分駅,中心市街地,1.33500106673234,1.5089170052867107,3.8,4.521831022487921
9.0,32,90.57,30,大分駅,中心市街地,2.1972245773362196,2.189105483697744,9.000000000000002,8.927223994635304
3.75,35,38.5,29,鶴崎駅,郊外,1.3217558399823195,1.3553087437968383,3.75,3.8779580673211047
3.4,34,26.6,11,牧駅,その他,1.2237754316221157,1.24267775259729,3.4,3.4648791427533077
3.3,38,28.5,9,古国府駅,住宅地,1.1939224684724346,1.2804078912595769,3.3,3.5981070627138423
11.5,6,82.75,18,大分駅,中心市街地,2.4423470353692043,2.340489118729181,11.499999999999998,10.386315461957848
2.9,34,26.46,8,牧駅,その他,1.0647107369924282,1.2417896650881626,2.9,3.4618033928356873
3.4,38,25.0,19,牧駅,その他,1.2237754316221157,1.1863264906846063,3.4,3.2750282358531746
7.5,62,66.0,7,大分駅,中心市街地,2.0149030205422647,1.6437315681472684,7.499999999999999,5.17444231510512
3.05,54,33.09,41,中判田駅,郊外,1.1151415906193203,1.1183607315260629,3.0500000000000003,3.0598342001109544
13.3,4,65.64,17,大分駅,中心市街地,2.5877640352277083,2.1658022438266706,13.300000000000002,8.721595957528795
2.7,54,33.51,44,中判田駅,郊外,0.9932517730102834,1.1224094930597348,2.7,3.0722478521206216
4.6,8,30.85,15,高城駅,郊外,1.5260563034950492,1.5181839263577122,4.6,4.563929232798024
4.5,12,46.55,14,坂ノ市駅,郊外,1.5040773967762742,1.6591939151852695,4.5,5.255073102058601
4.5,12,31.65,11,南大分駅,住宅地,1.5040773967762742,1.5523917216427294,4.5,4.722752194133037
4.8,15,57.07,18,大在駅,その他,1.5686159179138452,1.7581218432115755,4.8,5.801530970845729
4.85,17,58.86,15,坂ノ市駅,郊外,1.5789787049493917,1.752364605201124,4.85,5.768226140133077
4.8,18,58.86,13,坂ノ市駅,郊外,1.5686159179138452,1.7437150376669723,4.8,5.718548632777388
4.75,14,57.63,9,坂ノ市駅,郊外,1.55814461804655,1.767197916351194,4.75,5.854425765671473
5.45,3,36.96,10,南大分駅,住宅地,1.6956156086751528,1.6945620015545344,5.45,5.44426086512023
5.3,14,55.2,8,鶴崎駅,郊外,1.667706820558076,1.739998530901133,5.3,5.697335052717372
5.0,28,61.98,8,滝尾駅,住宅地,1.6094379124341003,1.749675621486539,4.999999999999999,5.752736309265129
4.9,9,32.44,13,古国府駅,住宅地,1.589235205116581,1.5881810395805334,4.9,4.894837310516124
4.7,18,58.86,15,坂ノ市駅,郊外,1.547562508716013,1.743253537998209,4.7,5.715910133357688
